Date,PL
2005/09/07,180
2005/09/08,-40
2005/09/10,-40
2005/09/11,60
2005/09/13,30
2005/09/14,-240
2005/09/16,250
2005/09/17,200
2005/09/18,-60
2005/09/20,20
2005/09/21,300
2005/09/23,50
2005/09/24,-80
2005/09/26,410
2005/09/27,-80
2005/09/29,220
2005/09/30,260
2005/10/02,300
2005/10/03,110
2005/10/04,110
2005/10/06,50
2005/10/07,30
2005/10/09,30
2005/10/10,220
2005/10/12,30
2005/10/13,220
2005/10/15,-410
2005/10/16,-100
2005/10/17,-110
2005/10/19,110
2005/10/20,110
2005/10/22,-370
2005/10/23,300
2005/10/25,-40
2005/10/26,20
2005/10/28,200
2005/10/29,410
2005/10/31,-280
2005/11/01,410
2005/11/02,200
2005/11/04,-90
2005/11/05,-80
2005/11/07,-70
2005/11/08,300
2005/11/10,630
2005/11/11,150
2005/11/13,150
2005/11/14,-370
2005/11/15,150
2005/11/17,20
2005/11/18,-420
2005/11/20,250
2005/11/21,720
2005/11/23,-640
2005/11/24,350
2005/11/26,160
2005/11/27,530
2005/11/29,200
2005/11/30,-30
2005/12/01,-210
2005/12/03,-120
2005/12/04,900
2005/12/06,500
2005/12/07,-220
2005/12/09,-70
2005/12/10,-70
2005/12/12,80
2005/12/13,-710
2005/12/14,-50
2005/12/16,-170
2005/12/17,-100
2005/12/19,30
2005/12/20,-150
2005/12/22,-50
2005/12/23,50
2005/12/25,140
2005/12/26,-30
2005/12/28,0
2005/12/29,-90
2005/12/30,-240
2006/01/01,190
2006/01/02,-30
2006/01/04,220
2006/01/05,-60
2006/01/07,-620
2006/01/08,220
2006/01/10,200
2006/01/11,360
2006/01/12,240
2006/01/14,-160
2006/01/15,100
2006/01/17,-170
2006/01/18,-270
2006/01/20,110
2006/01/21,750
2006/01/23,130
2006/01/24,180
2006/01/26,-370
2006/01/27,90
2006/01/28,-150
2006/01/30,260
2006/01/31,290
2006/02/02,210
2006/02/03,-20
2006/02/05,230
2006/02/06,40
2006/02/08,130
2006/02/09,-130
2006/02/10,30
2006/02/12,330
2006/02/13,-150
2006/02/15,240
2006/02/16,-40
2006/02/18,-40
2006/02/19,150
2006/02/21,240
2006/02/22,40
2006/02/24,0
2006/02/25,-40
2006/02/26,500
2006/02/28,260
2006/03/01,410
2006/03/03,-180
2006/03/04,250
2006/03/06,890
2006/03/07,850
2006/03/09,250
2006/03/10,410
2006/03/11,120
2006/03/13,-150
2006/03/14,450
2006/03/16,150
2006/03/17,-830
2006/03/19,330
2006/03/20,140
2006/03/22,110
2006/03/23,-580
2006/03/25,210
2006/03/26,-360
2006/03/27,0
2006/03/29,-80
2006/03/30,-390
2006/04/01,1240
2006/04/02,360
2006/04/04,430
2006/04/05,-150
2006/04/07,630
2006/04/08,-340
2006/04/09,-260
2006/04/11,-230
2006/04/12,220
2006/04/14,0
2006/04/15,-130
2006/04/17,350
2006/04/18,0
2006/04/20,-160
2006/04/21,0
2006/04/23,-110
2006/04/24,40
2006/04/25,10
2006/04/27,310
2006/04/28,-60
2006/04/30,200
2006/05/01,80
2006/05/03,200
2006/05/04,-60
2006/05/06,220
2006/05/07,250
2006/05/08,820
2006/05/10,-140
2006/05/11,280
2006/05/13,-170
2006/05/14,780
2006/05/16,-330
2006/05/17,-150
2006/05/19,440
2006/05/20,-1180
2006/05/21,-310
2006/05/23,-150
2006/05/24,650
2006/05/26,-280
2006/05/27,-580
2006/05/29,250
2006/05/30,-140
2006/06/01,290
2006/06/02,40
2006/06/04,-750
2006/06/05,290
2006/06/06,1000
2006/06/08,-700
2006/06/09,-470
2006/06/11,-770
2006/06/12,0
2006/06/14,-330
2006/06/15,-190
2006/06/17,-190
2006/06/18,-120
2006/06/19,90
2006/06/21,-220
2006/06/22,-40
2006/06/24,0
2006/06/25,-380
2006/06/27,-430
2006/06/28,20
2006/06/30,-70
2006/07/01,240
2006/07/03,90
2006/07/04,810
2006/07/05,460
2006/07/07,180
2006/07/08,-270
2006/07/10,60
2006/07/11,290
2006/07/13,110
2006/07/14,50
2006/07/16,30
2006/07/17,-680
2006/07/18,-810
2006/07/20,-430
2006/07/21,-150
2006/07/23,90
2006/07/24,180
2006/07/26,30
2006/07/27,-150
2006/07/29,150
2006/07/30,30
2006/08/01,300
2006/08/02,10
2006/08/03,50
2006/08/05,260
2006/08/06,200
2006/08/08,430
2006/08/09,140
2006/08/11,170
2006/08/12,110
2006/08/14,-100
2006/08/15,70
2006/08/16,30
2006/08/18,90
2006/08/19,90
2006/08/21,250
2006/08/22,130
2006/08/24,0
2006/08/25,-170
2006/08/27,90
2006/08/28,-60
2006/08/30,90
2006/08/31,110
2006/09/01,60
2006/09/03,-230
2006/09/04,-60
2006/09/06,0
2006/09/07,50
2006/09/09,480
2006/09/10,960
2006/09/12,490
2006/09/13,-820
2006/09/14,210
2006/09/16,590
2006/09/17,-790
2006/09/19,110
2006/09/20,-340
2006/09/22,1350
2006/09/23,-1440
2006/09/25,-400
2006/09/26,60
2006/09/28,-2320
2006/09/29,-1560
2006/09/30,60
2006/10/02,180
2006/10/03,200
2006/10/05,-150
2006/10/06,540
2006/10/08,220
2006/10/09,-230
2006/10/11,160
2006/10/12,-60
2006/10/13,-100
2006/10/15,560
2006/10/16,-140
2006/10/18,-90
2006/10/19,-320
2006/10/21,180
2006/10/22,480
2006/10/24,180
2006/10/25,-180
2006/10/27,-30
2006/10/28,-160
2006/10/29,-60
2006/10/31,180
2006/11/01,970
2006/11/03,460
2006/11/04,40
2006/11/06,230
2006/11/07,550
2006/11/09,340
2006/11/10,-1410
2006/11/11,220
2006/11/13,-450
2006/11/14,60
2006/11/16,120
2006/11/17,60
2006/11/19,320
2006/11/20,-290
2006/11/22,230
2006/11/23,250
2006/11/25,-20
2006/11/26,-500
2006/11/27,-90
2006/11/29,-30
2006/11/30,-30
2006/12/02,460
2006/12/03,40
2006/12/05,160
2006/12/06,130
2006/12/08,320
2006/12/09,850
2006/12/10,300
2006/12/12,-100
2006/12/13,-500
2006/12/15,20
2006/12/16,-440
2006/12/18,-800
2006/12/19,430
2006/12/21,0
2006/12/22,20
2006/12/24,-210
2006/12/25,430
2006/12/26,-150
2006/12/28,150
2006/12/29,-20
2006/12/31,30
2007/01/01,30
2007/01/03,200
2007/01/04,-110
2007/01/06,50
2007/01/07,160
2007/01/08,50
2007/01/10,140
2007/01/11,120
2007/01/13,20
2007/01/14,-170
2007/01/16,450
2007/01/17,-280
2007/01/19,280
2007/01/20,100
2007/01/22,-270
2007/01/23,130
2007/01/24,550
2007/01/26,50
2007/01/27,260
2007/01/29,-40
2007/01/30,-520
2007/02/01,-40
2007/02/02,70
2007/02/04,-10
2007/02/05,150
2007/02/06,480
2007/02/08,50
2007/02/09,510
2007/02/11,-380
2007/02/12,150
2007/02/14,70
2007/02/15,310
2007/02/17,0
2007/02/18,-190
2007/02/20,100
2007/02/21,390
2007/02/22,240
2007/02/24,260
2007/02/25,-110
2007/02/27,-40
2007/02/28,0
2007/03/02,-80
2007/03/03,80
2007/03/05,330
2007/03/06,-470
2007/03/07,170
2007/03/09,120
2007/03/10,-40
2007/03/12,150
2007/03/13,-40
2007/03/15,50
2007/03/16,420
2007/03/18,-460
2007/03/19,40
2007/03/21,-720
2007/03/22,550
2007/03/23,310
2007/03/25,430
2007/03/26,-200
2007/03/28,240
2007/03/29,1000
2007/03/31,-1330
2007/04/01,0
2007/04/03,-720
2007/04/04,110
2007/04/05,-600
2007/04/07,-810
2007/04/08,90
2007/04/10,50
2007/04/11,190
2007/04/13,-420
2007/04/14,-1250
2007/04/16,80
2007/04/17,-810
2007/04/19,220
2007/04/20,-260
2007/04/21,-250
2007/04/23,30
2007/04/24,-90
2007/04/26,20
2007/04/27,100
2007/04/29,170
2007/04/30,-250
2007/05/02,-220
2007/05/03,180
2007/05/04,-70
2007/05/06,-170
2007/05/07,-150
2007/05/09,360
2007/05/10,0
2007/05/12,-160
2007/05/13,70
2007/05/15,-70
2007/05/16,130
2007/05/18,-50
2007/05/19,-150
2007/05/20,440
2007/05/22,-90
2007/05/23,20
2007/05/25,160
2007/05/26,-110
2007/05/28,370
2007/05/29,290
2007/05/31,0
2007/06/01,-90
2007/06/02,-160
2007/06/04,-140
2007/06/05,-140
2007/06/07,-70
2007/06/08,220
2007/06/10,-20
2007/06/11,510
2007/06/13,600
2007/06/14,210
2007/06/16,-80
2007/06/17,510
2007/06/18,-570
2007/06/20,700
2007/06/21,-390
2007/06/23,-210
2007/06/24,370
2007/06/26,-500
2007/06/27,240
2007/06/29,-200
2007/06/30,470
2007/07/01,0
2007/07/03,210
2007/07/04,-500
2007/07/06,-490
2007/07/07,-1180
2007/07/09,-1380
2007/07/10,-4750
2007/07/12,-1140
2007/07/13,-520
2007/07/15,-1030
2007/07/16,-410
2007/07/17,440
2007/07/19,-1230
2007/07/20,-1420
2007/07/22,-1130
2007/07/23,-480
2007/07/25,210
2007/07/26,-2560
2007/07/28,1100
2007/07/29,-420
2007/07/30,-760
2007/08/01,-1550
2007/08/02,1950
2007/08/04,-270
2007/08/05,-70
2007/08/07,-1610
2007/08/08,330
2007/08/10,-1490
2007/08/11,440
2007/08/13,480
2007/08/14,-1960
2007/08/15,-2500
2007/08/17,-370
2007/08/18,-850
2007/08/20,-1520
2007/08/21,-270
2007/08/23,-1260
2007/08/24,-2020
2007/08/26,-830
2007/08/27,-340
2007/08/28,-2110
2007/08/30,-1000
2007/08/31,0
2007/09/02,-670
2007/09/03,-440
2007/09/05,-1640
2007/09/06,-1050
2007/09/08,-1250
2007/09/09,-170
2007/09/10,-410
2007/09/12,500
2007/09/13,100
2007/09/15,2470
2007/09/16,430
2007/09/18,-1510
2007/09/19,-1040
2007/09/21,-850
2007/09/22,1230
2007/09/24,-300
2007/09/25,-1360
2007/09/26,180
2007/09/28,150
2007/09/29,-680
2007/10/01,550
2007/10/02,960
2007/10/04,-1470
2007/10/05,720
2007/10/07,1640
2007/10/08,-730
2007/10/09,-200
2007/10/11,-350
2007/10/12,-280
2007/10/14,-1150
2007/10/15,-410
2007/10/17,30
2007/10/18,-1250
2007/10/20,-480
2007/10/21,1620
2007/10/23,-480
2007/10/24,200
2007/10/25,50
2007/10/27,480
2007/10/28,500
2007/10/30,-280
2007/10/31,-1520
2007/11/02,410
2007/11/03,-370
2007/11/05,-1860
2007/11/06,-1420
2007/11/07,-2880
2007/11/09,4000
2007/11/10,690
2007/11/12,1550
2007/11/13,-1130
2007/11/15,-1800
2007/11/16,2660
2007/11/18,1580
2007/11/19,950
2007/11/21,220
2007/11/22,-580
2007/11/23,-1840
2007/11/25,890
2007/11/26,630
2007/11/28,90
2007/11/29,-450
2007/12/01,1080
2007/12/02,-940
2007/12/04,-1860
2007/12/05,-120
2007/12/06,-450
2007/12/08,-3950
2007/12/09,-2380
2007/12/11,-3720
2007/12/12,50
2007/12/14,870
2007/12/15,-440
2007/12/17,870
2007/12/18,-3250
2007/12/20,-2160
2007/12/21,-350
2007/12/22,-770
2007/12/24,140
2007/12/25,-550
2007/12/27,-790
2007/12/28,3710
2007/12/30,840
2007/12/31,650
2008/01/02,-40
2008/01/03,-1010
2008/01/04,-750
2008/01/06,3500
2008/01/07,-2950
2008/01/09,-3025
2008/01/10,870
2008/01/12,1045
2008/01/13,-425
2008/01/15,-1395
2008/01/16,125
2008/01/18,-30
2008/01/19,-1200
2008/01/20,760
2008/01/22,-490
2008/01/23,-310
2008/01/25,-310
2008/01/26,-1870
2008/01/28,-195
2008/01/29,-1920
2008/01/31,2320
2008/02/01,1710
2008/02/02,1430
2008/02/04,-120
2008/02/05,-25
2008/02/07,425
2008/02/08,430
2008/02/10,-1870
2008/02/11,310
2008/02/13,130
2008/02/14,-500
2008/02/16,-210
2008/02/17,745
2008/02/18,855
2008/02/20,-685
2008/02/21,-580
2008/02/23,495
2008/02/24,-140
2008/02/26,1780
2008/02/27,-860
2008/02/29,-480
2008/03/01,615
2008/03/02,120
2008/03/04,300
2008/03/05,290
2008/03/07,-420
2008/03/08,-15
2008/03/10,1050
2008/03/11,-1190
2008/03/13,-320
2008/03/14,765
2008/03/16,-930
2008/03/17,610
2008/03/18,-920
2008/03/20,590
2008/03/21,-3010
2008/03/23,-490
2008/03/24,1950
2008/03/26,-450
2008/03/27,850
2008/03/29,-2200
2008/03/30,40
2008/03/31,1030
2008/04/02,-3650
2008/04/03,1400
2008/04/05,880
2008/04/06,240
2008/04/08,-2650
2008/04/09,-1650
2008/04/11,670
2008/04/12,920
2008/04/14,1150
2008/04/15,420
2008/04/16,2570
2008/04/18,-600
2008/04/19,750
2008/04/21,950
2008/04/22,300
2008/04/24,-320
2008/04/25,-920
2008/04/27,890
2008/04/28,-1570
2008/04/29,1770
2008/05/01,-680
2008/05/02,1250
2008/05/04,510
2008/05/05,100
2008/05/07,-430
2008/05/08,1060
2008/05/10,-470
2008/05/11,-470
2008/05/13,430
2008/05/14,2090
2008/05/15,-690
2008/05/17,1670
2008/05/18,2250
2008/05/20,-120
2008/05/21,-1130
2008/05/23,-760
2008/05/24,-200
2008/05/26,630
2008/05/27,1060
2008/05/28,680
2008/05/30,640
2008/05/31,1480
2008/06/02,1050
2008/06/03,-300
2008/06/05,870
2008/06/06,280
2008/06/08,-300
2008/06/09,-750
2008/06/11,1430
2008/06/12,120
2008/06/13,700
2008/06/15,-500
2008/06/16,700
2008/06/18,240
2008/06/19,1610
2008/06/21,780
2008/06/22,430
2008/06/24,-200
2008/06/25,-200
2008/06/26,50
2008/06/28,840
2008/06/29,-960
2008/07/01,1620
2008/07/02,-460
2008/07/04,700
2008/07/05,0
2008/07/07,1050
2008/07/08,890
2008/07/10,-3120
2008/07/11,1050
2008/07/12,1260
2008/07/14,1570
2008/07/15,420
2008/07/17,600
2008/07/18,740
2008/07/20,-180
2008/07/21,110
2008/07/23,-20
2008/07/24,460
2008/07/25,-480
2008/07/27,740
2008/07/28,1420
2008/07/30,2100
2008/07/31,280
2008/08/02,670
2008/08/03,1670
2008/08/05,-470
2008/08/06,-150
2008/08/08,-1280
2008/08/09,620
2008/08/10,300
2008/08/12,-1880
2008/08/13,-560
2008/08/15,400
2008/08/16,770
2008/08/18,0
2008/08/19,0
2008/08/21,-100
2008/08/22,620
2008/08/23,620
2008/08/25,780
2008/08/26,120
2008/08/28,780
2008/08/29,300
2008/08/31,940
2008/09/01,420
2008/09/03,680
2008/09/04,120
2008/09/06,20
2008/09/07,680
2008/09/08,1120
2008/09/10,-1680
2008/09/11,-190
2008/09/13,750
2008/09/14,250
2008/09/16,1880
2008/09/17,-750
2008/09/19,440
2008/09/20,1440
2008/09/21,-220
2008/09/23,440
2008/09/24,250
2008/09/26,-3130
2008/09/27,-3130
2008/09/29,-1190
2008/09/30,-2000
2008/10/02,1300
2008/10/03,1680
2008/10/05,-1500
2008/10/06,-1580
2008/10/07,660
2008/10/09,1610
2008/10/10,-5700
2008/10/12,-12410
2008/10/13,3550
2008/10/15,3110
2008/10/16,-400
2008/10/18,120
2008/10/19,1500
2008/10/20,-1320
2008/10/22,-2650
2008/10/23,-2380
2008/10/25,430
2008/10/26,3300
2008/10/28,-300
2008/10/29,1690
2008/10/31,2050
2008/11/01,1620
2008/11/03,1490
2008/11/04,-580
2008/11/05,620
2008/11/07,430
2008/11/08,3010
2008/11/10,310
2008/11/11,920
2008/11/13,-1880
2008/11/14,-6320
2008/11/16,-580
2008/11/17,750
2008/11/18,-300
2008/11/20,1300
2008/11/21,220
2008/11/23,740
2008/11/24,660
2008/11/26,1280
2008/11/27,2030
2008/11/29,-1320
2008/11/30,430
2008/12/02,-120
2008/12/03,680
2008/12/04,2850
2008/12/06,300
2008/12/07,1310
2008/12/09,-320
2008/12/10,480
2008/12/12,-350
2008/12/13,-660
2008/12/15,0
2008/12/16,1740
2008/12/17,930
2008/12/19,2360
2008/12/20,880
2008/12/22,440
2008/12/23,1480
2008/12/25,500
2008/12/26,300
2008/12/28,-680
2008/12/29,-1690
2008/12/31,670
